"","id","WormBaseID","logFC"
"396","cnc-6","WBGene00000560",7.48073908093536
"59","C18D11.6","WBGene00007682",7.47674489518894
"776","ttr-50","WBGene00010234",6.82797725332068
"615","cpr-2","WBGene00000782",6.64616747806924
"138","hsp-12.6","WBGene00002013",6.61391385180674
"62","ins-20","WBGene00002103",6.5730269267163
"36","fipr-23","WBGene00007990",6.53818545998457
"264","tsp-4","WBGene00006630",6.4985594577433
"1947","hsp-16.1","WBGene00002015",6.47108964249368
"10","F09C6.13","WBGene00044183",6.4203070300317
"174","F48C1.9","WBGene00018601",6.41677897608468
"32","F09C6.3","WBGene00008617",6.32922068672832
"301","C30F12.3","WBGene00016262",6.32329355973003
"574","H39E23.3","WBGene00044201",6.3130406100311
"170","cyp-13A7","WBGene00000372",6.29599426023791
"183","R12G8.1","WBGene00011254",6.2333440105411
"359","clx-1","WBGene00000551",6.23244796905068
"52","ZK970.7","WBGene00014173",6.21510318474564
"12","dlc-5","WBGene00043067",6.21155115223933
"527","pals-28","WBGene00007134",6.20133667660788
"393","mex-6","WBGene00003231",6.11679999025561
"775","W02D7.11","WBGene00020946",6.0761732963265
"114","Y60C6A.3","WBGene00271832",6.07176404220559
"81","nspe-7","WBGene00012593",6.07147765061361
"800","K01A6.4","WBGene00010446",6.06846174567564
"228","F14D2.15","WBGene00023427",6.05077479820569
"83","C04C11.25","WBGene00284855",6.01300306723107
"1546","numr-2","WBGene00017267",5.97352244203862
"116","sip-1","WBGene00004798",5.96217684621438
"1046","bath-29","WBGene00017452",5.95454836372469
"168","K04A8.21","WBGene00271815",5.94702387806229
"537","C01G6.3","WBGene00007225",5.9239133996651
"499","clec-88","WBGene00019606",5.90630071070572
"150","Y37H2C.1","WBGene00012573",5.90326082902817
"348","Y57A10A.3","WBGene00013248",5.90108785594421
"1053","K08B4.2","WBGene00019514",5.90094992252392
"24","C27B7.9","WBGene00007765",5.89062488608992
"855","eat-2","WBGene00001133",5.88527043169158
"58","gst-30","WBGene00001778",5.83888706849554
"2221","Y25C1A.2","WBGene00021289",5.83851115655007
"165","F09C6.1","WBGene00008615",5.83553623504931
"65","F13E9.14","WBGene00045207",5.82609476891514
"538","C25G6.4","WBGene00016109",5.82080038470082
"74","str-162","WBGene00006207",5.81880834704167
"50","pos-1","WBGene00004078",5.81186460146656
"414","R05D8.9","WBGene00019886",5.80813517844575
"251","srg-47","WBGene00005204",5.80079850664084
"121","F08H9.3","WBGene00008591",5.80013252550484
"64","fbxb-72","WBGene00019243",5.78791278856622
"1857","col-121","WBGene00000695",5.77813227325127
"158","C45B2.3","WBGene00016660",5.76898569534417
"38","F14D7.10","WBGene00008797",5.76721374634202
"263","R10D12.6","WBGene00011187",5.75595442671564
"268","F14D2.8","WBGene00017456",5.75006424993669
"1860","dpy-14","WBGene00001075",5.74757892534849
"152","K10G4.13","WBGene00077629",5.74100586651
"208","C53B7.3","WBGene00016894",5.73901484053838
"1470","numr-1","WBGene00017270",5.67668733723117
"319","Y38H6C.23","WBGene00012634",5.65609505185983
"343","tag-293","WBGene00015398",5.64210441318737
"2444","dpy-17","WBGene00001076",5.63952003534746
"1305","ftr-1","WBGene00013756",5.63465852827143
"68","trcs-1","WBGene00009186",5.62947080780915
"141","ins-10","WBGene00002093",5.62373940984899
"278","C08E8.3","WBGene00007439",5.62288961390585
"1677","sod-5","WBGene00007036",5.61818804052175
"269","gur-3","WBGene00001804",5.61582373382173
"900","C55A1.7","WBGene00008324",5.60104665937604
"172","cyp-13A4","WBGene00011671",5.60005894210638
"243","mir-239.2","WBGene00003333",5.58295794247504
"399","W03F8.6","WBGene00020995",5.56855808010326
"548","C08E8.1","WBGene00007437",5.54248912516231
"249","spe-11","WBGene00004965",5.52012640795412
"815","fipr-26","WBGene00009963",5.50416708172116
"22","ZK593.2","WBGene00014002",5.49453748352285
